# timestamp, timestep, pktv4counts, pktv6counts
1548997200.569922, 0, 10247, 462
1548997200.669922, 1, 9687, 277
1548997200.769922, 2, 8988, 203
1548997200.869922, 3, 9632, 84
1548997200.969922, 4, 10883, 98
1548997201.069921, 5, 10023, 72
1548997201.169921, 6, 11593, 113
1548997201.269921, 7, 11855, 109
1548997201.369921, 8, 11560, 139
1548997201.469921, 9, 10954, 164
1548997201.569921, 10, 10980, 192
1548997201.669921, 11, 10239, 345
1548997201.769921, 12, 9236, 148
1548997201.869921, 13, 10716, 119
1548997201.969921, 14, 11873, 171
1548997202.069921, 15, 11625, 152
1548997202.169920, 16, 11450, 155
1548997202.269920, 17, 12690, 169
1548997202.369920, 18, 11661, 834
1548997202.469920, 19, 11238, 143
1548997202.569920, 20, 12388, 237
1548997202.669920, 21, 12667, 1067
1548997202.769920, 22, 12998, 217
1548997202.869920, 23, 12979, 120
1548997202.969920, 24, 10430, 195
1548997203.069920, 25, 10469, 183
1548997203.169919, 26, 10691, 136
1548997203.269919, 27, 10066, 184
1548997203.369919, 28, 10527, 345
1548997203.469919, 29, 10467, 181
1548997203.569919, 30, 12036, 139
1548997203.669919, 31, 10651, 142
1548997203.769919, 32, 12103, 166
1548997203.869919, 33, 11253, 202
1548997203.969919, 34, 13003, 313
1548997204.069919, 35, 11747, 125
1548997204.169919, 36, 12670, 191
1548997204.269918, 37, 11804, 379
1548997204.369918, 38, 11605, 187
1548997204.469918, 39, 12819, 116
1548997204.569918, 40, 11484, 1660
1548997204.669918, 41, 11560, 227
1548997204.769918, 42, 11652, 242
1548997204.869918, 43, 12547, 234
1548997204.969918, 44, 13247, 516
1548997205.069918, 45, 12570, 335
1548997205.169918, 46, 12268, 298
1548997205.269917, 47, 12251, 293
1548997205.369917, 48, 11719, 290
1548997205.469917, 49, 12063, 262
1548997205.569917, 50, 12218, 331
1548997205.669917, 51, 10822, 260
1548997205.769917, 52, 11355, 219
1548997205.869917, 53, 11187, 329
1548997205.969917, 54, 10855, 246
1548997206.069917, 55, 11047, 268
1548997206.169917, 56, 10697, 453
1548997206.269917, 57, 10362, 377
1548997206.369916, 58, 10897, 190
1548997206.469916, 59, 11820, 224
1548997206.569916, 60, 12034, 173
1548997206.669916, 61, 12303, 223
1548997206.769916, 62, 11223, 211
1548997206.869916, 63, 12053, 229
1548997206.969916, 64, 10647, 323
1548997207.069916, 65, 11705, 227
1548997207.169916, 66, 12099, 416
1548997207.269916, 67, 12554, 508
1548997207.369915, 68, 10493, 105
1548997207.469915, 69, 11422, 248
1548997207.569915, 70, 11076, 514
1548997207.669915, 71, 11178, 329
1548997207.769915, 72, 12133, 333
1548997207.869915, 73, 9818, 650
1548997207.969915, 74, 10488, 506
1548997208.069915, 75, 12126, 516
1548997208.169915, 76, 12022, 200
1548997208.269915, 77, 11289, 390
1548997208.369915, 78, 11180, 379
1548997208.469914, 79, 11493, 501
1548997208.569914, 80, 11692, 327
1548997208.669914, 81, 12125, 330
1548997208.769914, 82, 12534, 265
1548997208.869914, 83, 12455, 187
1548997208.969914, 84, 9765, 208
1548997209.069914, 85, 11228, 249
1548997209.169914, 86, 13370, 174
1548997209.269914, 87, 11412, 177
1548997209.369914, 88, 11363, 170
1548997209.469913, 89, 10688, 216
1548997209.569913, 90, 10756, 332
1548997209.669913, 91, 10708, 152
1548997209.769913, 92, 10519, 157
1548997209.869913, 93, 11308, 170
1548997209.969913, 94, 11203, 108
1548997210.069913, 95, 11901, 217
1548997210.169913, 96, 10447, 212
1548997210.269913, 97, 10916, 326
1548997210.369913, 98, 10113, 188
1548997210.469913, 99, 10914, 243
1548997210.569912, 100, 11363, 265
1548997210.669912, 101, 11864, 401
1548997210.769912, 102, 11847, 503
1548997210.869912, 103, 12296, 357
1548997210.969912, 104, 10981, 325
1548997211.069912, 105, 10038, 314
1548997211.169912, 106, 11071, 231
1548997211.269912, 107, 10558, 126
1548997211.369912, 108, 11112, 397
1548997211.469912, 109, 11888, 125
1548997211.569911, 110, 10670, 566
1548997211.669911, 111, 10339, 229
1548997211.769911, 112, 10644, 169
1548997211.869911, 113, 10437, 100
1548997211.969911, 114, 9493, 175
1548997212.069911, 115, 11512, 182
1548997212.169911, 116, 11517, 140
1548997212.269911, 117, 10751, 153
1548997212.369911, 118, 10357, 141
1548997212.469911, 119, 11602, 439
1548997212.569911, 120, 14137, 599
1548997212.669910, 121, 13989, 275
1548997212.769910, 122, 10266, 191
1548997212.869910, 123, 10324, 345
1548997212.969910, 124, 12098, 243
1548997213.069910, 125, 10780, 110
1548997213.169910, 126, 9849, 146
1548997213.269910, 127, 9879, 131
1548997213.369910, 128, 9615, 153
1548997213.469910, 129, 9829, 726
1548997213.569910, 130, 11680, 519
1548997213.669909, 131, 12492, 582
1548997213.769909, 132, 12953, 603
1548997213.869909, 133, 11863, 714
1548997213.969909, 134, 11926, 481
1548997214.069909, 135, 12371, 491
1548997214.169909, 136, 11763, 180
1548997214.269909, 137, 12671, 470
1548997214.369909, 138, 10327, 438
1548997214.469909, 139, 11349, 449
1548997214.569909, 140, 10400, 252
1548997214.669909, 141, 12190, 246
1548997214.769908, 142, 11359, 310
1548997214.869908, 143, 11930, 264
1548997214.969908, 144, 10160, 356
1548997215.069908, 145, 12966, 384
1548997215.169908, 146, 12351, 421
1548997215.269908, 147, 12520, 325
1548997215.369908, 148, 12050, 347
1548997215.469908, 149, 11645, 312
1548997215.569908, 150, 11436, 360
1548997215.669908, 151, 12045, 370
1548997215.769907, 152, 11750, 346
1548997215.869907, 153, 12591, 197
1548997215.969907, 154, 14404, 287
1548997216.069907, 155, 13142, 535
1548997216.169907, 156, 12456, 536
1548997216.269907, 157, 11302, 368
1548997216.369907, 158, 12592, 318
1548997216.469907, 159, 12046, 303
1548997216.569907, 160, 12857, 429
1548997216.669907, 161, 13493, 460
1548997216.769907, 162, 13702, 280
1548997216.869906, 163, 13820, 344
1548997216.969906, 164, 12989, 309
1548997217.069906, 165, 11454, 406
1548997217.169906, 166, 12051, 525
1548997217.269906, 167, 9897, 257
1548997217.369906, 168, 9799, 798
1548997217.469906, 169, 10490, 313
1548997217.569906, 170, 12917, 295
1548997217.669906, 171, 11626, 341
1548997217.769906, 172, 11257, 303
1548997217.869905, 173, 11234, 540
1548997217.969905, 174, 11229, 360
1548997218.069905, 175, 11646, 369
1548997218.169905, 176, 10407, 240
1548997218.269905, 177, 12088, 185
1548997218.369905, 178, 13036, 469
1548997218.469905, 179, 12699, 250
1548997218.569905, 180, 11221, 359
1548997218.669905, 181, 13556, 399
1548997218.769905, 182, 13286, 282
1548997218.869905, 183, 11566, 350
1548997218.969904, 184, 11419, 640
1548997219.069904, 185, 10495, 741
1548997219.169904, 186, 10483, 172
1548997219.269904, 187, 11482, 117
1548997219.369904, 188, 13042, 130
1548997219.469904, 189, 11235, 112
1548997219.569904, 190, 12150, 318
1548997219.669904, 191, 13890, 201
1548997219.769904, 192, 12529, 288
1548997219.869904, 193, 12755, 174
1548997219.969903, 194, 10687, 93
1548997220.069903, 195, 10158, 183
1548997220.169903, 196, 10122, 145
