# timestamp, timestep, pktv4counts, pktv6counts
1548997210.469922, 0, 1137879, 27617
1548997220.469922, 1, 1162549, 32765
1548997230.469922, 2, 1218288, 40919
1548997240.469922, 3, 1197256, 27566
1548997250.469922, 4, 1185600, 24985
1548997260.469922, 5, 1065324, 26921
1548997270.469922, 6, 1041014, 84772
1548997280.469922, 7, 1159912, 42867
1548997290.469922, 8, 1178064, 18184
1548997300.469922, 9, 1256507, 36282
1548997310.469922, 10, 1125528, 92555
1548997320.469922, 11, 1109060, 54553
1548997330.469922, 12, 1257473, 66445
1548997340.469922, 13, 1196800, 28599
1548997350.469922, 14, 1243363, 31072
1548997360.469922, 15, 1293270, 38672
1548997370.469922, 16, 1261152, 62202
1548997380.469922, 17, 1256755, 27902
1548997390.469922, 18, 1303792, 43000
1548997400.469922, 19, 1393743, 34515
1548997410.469922, 20, 1369892, 44121
1548997420.469922, 21, 1355610, 39035
1548997430.469922, 22, 1375762, 27330
1548997440.469922, 23, 994752, 35974
1548997450.469922, 24, 961177, 34808
1548997460.469922, 25, 1120653, 36410
1548997470.469922, 26, 1028059, 24867
1548997480.469922, 27, 1059213, 34870
1548997490.469922, 28, 1050011, 35225
1548997500.469922, 29, 963613, 19317
1548997510.469922, 30, 1073435, 30148
1548997520.469922, 31, 1051037, 26257
1548997530.469922, 32, 1141387, 72133
1548997540.469922, 33, 1153739, 46793
